"Qty","Line Item","Manufacturer","MPN","Description","SKU (Mouser)"
1,"ATMEGA32A-PU","Microchip","ATMEGA32A-PU","atmega32a-pu","556-ATMEGA32A-PU"
1,"1-2199299-5","TE Connectivity","1-2199299-5","40 pin ic socket","571-1-2199299-5"
69,"512-1N4148TR","ON Semiconductor","1N4148TR","1n4148 diode","512-1N4148TR"
2,"TZX3V6A-TR","Vishay","TZX3V6A-TR","zener diode (3.6v)","78-TZX3V6A"
1,"MF-R050","Bourns","MF-R050","500mA fuse","652-MFR050"
2,"603-CFR-12JR-52-75R","Yageo","CFR-12JR-52-75R","75 ohm resistor (1/6w)","603-CFR-12JR-52-75R"
2,"MFR-12FTF52-1K5","Yageo","MFR-12FTF52-1K5","1.5k resistor (1/6w)","603-MFR-12FTF52-1K5"
2,"MFR-12FTF52-5K1","Yageo","MFR-12FTF52-5K1","5.1k resistor (1/6w)","603-MFR-12FTF52-5K1"
1,"MFR-12FTF52-10K","Yageo","MFR-12FTF52-10K","10k resistor (1/6w)","603-MFR-12FTF52-10K"
1,"UMT1H4R7MDD","Nichicon","UMT1H4R7MDD","4.7uF capacitor","647-UMT1H4R7MDD"
2,"RDER71H104K0M1H03A","Murata","RDER71H104K0M1H03A","0.1uF capacitor","81-RDER71H104K0M1H3A"
2,"RCE5C2A220J0A2H03B","Murata","RCE5C2A220J0A2H03B","22pF capacitor","81-RCE5C2A220J0A2H3B"
1,"ABL-16.000MHz-B4Y","Abracon","ABL-16.000MHZ-B4Y","16mhz crystal","815-ABL-16-B4Y"
2,"MJTP1230A","APEM","MJTP1230A","6mm pushbutton","642-MJTP1230A"
1,"LTL-4222","Lite-On","LTL-4222","3mm led","859-LTL-4222"
1,"68602-406HLF","Amphenol ICC / FCI","68602-406HLF","2x3 pin header","649-68602-406HLF"
1,"USB4085-GF-A","GCT","USB4085-GF-A","through hole 16-pin usb type-c jack",
